visits,hits,pageviews,transactions,totalTransactionRevenue
2,22,18,1,104.9
4,94,73,1,55.08
14,31,29,3,215.19
1,13,11,1,14.73
2,34,28,1,217.64
1,12,11,1,75.51
5,99,67,1,396.4
4,42,30,1,100.63
6,41,29,1,331.2
1,12,10,1,18.49
4,31,27,1,125.98
1,21,20,1,100.78
22,136,88,1,353.26
6,40,29,1,130.04
2,34,23,1,32.48
3,30,22,1,283.09
4,98,68,1,23.2
5,60,43,1,61.09
9,94,64,1,53.54
6,38,27,1,210.08
2,34,24,1,43.86
4,141,99,1,208.64
4,64,42,1,359.26
1,42,36,1,312.01
1,14,11,1,46.72
1,15,13,1,29.24
4,50,35,1,25.38
3,46,36,1,221.41
1,46,37,1,111.42
6,81,57,1,79.23
1,16,13,1,438.3
2,31,24,1,50.37
1,17,14,1,24.49
2,14,11,1,33.48
1,26,19,1,118.49
1,32,23,1,41.8
7,49,35,1,174.91
4,45,36,1,77.03
